{'folder': 1, 'file': 70, 'shape': (992, 767, 3)}
{'folder': 1, 'file': 176, 'shape': (990, 739, 3)}
{'folder': 5, 'file': 197, 'shape': (986, 986, 3)}
{'folder': 1, 'file': 225, 'shape': (986, 744, 3)}
{'folder': 5, 'file': 9, 'shape': (986, 730, 3)}
{'folder': 1, 'file': 385, 'shape': (982, 652, 3)}
{'folder': 1, 'file': 85, 'shape': (981, 1024, 3)}
{'folder': 1, 'file': 368, 'shape': (980, 646, 3)}
{'folder': 1, 'file': 195, 'shape': (978, 637, 3)}
{'folder': 5, 'file': 145, 'shape': (976, 691, 3)}
{'folder': 1, 'file': 113, 'shape': (972, 640, 3)}
{'folder': 1, 'file': 236, 'shape': (970, 760, 3)}
{'folder': 1, 'file': 241, 'shape': (964, 721, 3)}
{'folder': 1, 'file': 376, 'shape': (960, 1280, 3)}
{'folder': 2, 'file': 4, 'shape': (960, 1280, 3)}
{'folder': 2, 'file': 11, 'shape': (960, 1280, 3)}
{'folder': 2, 'file': 12, 'shape': (960, 1280, 3)}
{'folder': 3, 'file': 137, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 149, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 150, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 151, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 164, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 165, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 166, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 167, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 168, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 169, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 170, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 171, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 172, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 173, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 174, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 175, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 176, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 177, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 178, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 179, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 180, 'shape': (960, 1280, 3)}
{'folder': 5, 'file': 253, 'shape': (960, 1280, 3)}
{'folder': 1, 'file': 186, 'shape': (954, 962, 3)}
{'folder': 1, 'file': 270, 'shape': (942, 695, 3)}
{'folder': 1, 'file': 167, 'shape': (940, 699, 3)}
{'folder': 3, 'file': 19, 'shape': (939, 1024, 3)}
{'folder': 1, 'file': 252, 'shape': (934, 652, 3)}
{'folder': 3, 'file': 219, 'shape': (932, 972, 3)}
{'folder': 1, 'file': 112, 'shape': (920, 691, 3)}
{'folder': 1, 'file': 29, 'shape': (907, 1024, 3)}
{'folder': 1, 'file': 327, 'shape': (902, 670, 3)}
{'folder': 1, 'file': 302, 'shape': (894, 712, 3)}
{'folder': 5, 'file': 190, 'shape': (888, 990, 3)}
{'folder': 1, 'file': 114, 'shape': (878, 594, 3)}
